,precision,recall,f1-score,support
Anthracnose,0.23076923076923078,0.8,0.3582089552238806,15.0
Bacterial Blight,0.3333333333333333,0.5,0.4,16.0
Citrus Canker,0.75,0.34615384615384615,0.47368421052631576,26.0
Curl Virus,0.23636363636363636,0.7222222222222222,0.3561643835616438,18.0
Deficiency Leaf,0.38461538461538464,0.1724137931034483,0.23809523809523808,29.0
Dry Leaf,0.3157894736842105,0.21428571428571427,0.2553191489361702,28.0
Healthy Leaf,0.26666666666666666,0.3870967741935484,0.3157894736842105,31.0
Sooty Mould,0.3888888888888889,0.30434782608695654,0.34146341463414637,23.0
Spider Mites,0.1935483870967742,0.35294117647058826,0.25,17.0
Witch's Broom,0.7272727272727273,0.2909090909090909,0.4155844155844156,110.0
accuracy,0.3514376996805112,0.3514376996805112,0.3514376996805112,0.3514376996805112
macro avg,0.38272477286908524,0.40903704434254146,0.34043092402460207,313.0
weighted avg,0.4889674196746887,0.3514376996805112,0.35834184893357285,313.0
