name,model,loss,test_acc,tta_acc,best_val_acc,epochs,time_min,min_f1,min_f1_class,macro_f1
efficientnet_b1_weighted_ce,efficientnet_b1,weighted_ce,0.9840255591054313,0.9904153354632588,0.9968051118210862,30,27.427219728628796,0.967741935483871,Anthracnose,0.9840469208211143
resnet50_focal,resnet50,focal,0.9808306709265175,0.9840255591054313,0.9776357827476039,30,27.912688986460367,0.9375,Anthracnose,0.9728222349545879
efficientnet_b2_focal,efficientnet_b2,focal,0.9584664536741214,0.9808306709265175,0.9936102236421726,23,21.014394064744312,0.9333333333333333,Anthracnose,0.9734217459988008
efficientnet_b2_weighted_ce,efficientnet_b2,weighted_ce,0.9680511182108626,0.9776357827476039,0.9904153354632588,30,29.481273492177326,0.9090909090909091,Spider Mites,0.9686949481350888
efficientnet_b0_focal,efficientnet_b0,focal,0.9616613418530351,0.9712460063897763,0.9808306709265175,21,19.144921755790712,0.8648648648648649,Bacterial Blight,0.9581341049681942
efficientnet_b1_focal,efficientnet_b1,focal,0.9201277955271565,0.9265175718849841,0.987220447284345,19,17.3686669866244,0.8,Curl Virus,0.9035684792008846
efficientnet_b3_focal,efficientnet_b3,focal,0.30990415335463256,0.3514376996805112,0.9488817891373802,12,11.230023117860158,0.23809523809523808,Deficiency Leaf,0.34043092402460207
