epoch,train_loss,val_loss,train_acc,val_acc
1,1.572254636682882,59954369302.037895,0.6968704228919638,0.9654806160382369
2,0.8790430623108355,268504756196.29163,0.8906143676279238,0.984599044078598
3,0.7743379745652766,842.5237242933352,0.923879692788984,0.9909718534253851
4,0.7310420325762153,0.5451127289459544,0.9340505287295482,0.9968135953266065
5,0.6815170631056926,0.531540889374069,0.94533364298348,0.9984067976633032
6,0.7032344978038079,0.5284451194032354,0.9331731755551094,0.9994689325544344
7,0.6695432357340779,0.5289447112597497,0.9477984824901504,0.9984067976633032
8,0.6750642934132144,0.5222649492295701,0.9409843061139674,0.9984067976633032
9,0.6464588372325203,0.5215494862213074,0.9511345634694959,0.9989378651088688
10,0.6484467852419625,0.5236232543460119,0.950178829210052,0.9978757302177377
11,0.6441739862733852,0.5188186847650809,0.9480279888177395,0.9989378651088688
12,0.6313573145909822,0.5239679981151668,0.9546196460723877,0.997344662772172
13,0.6358554596675116,0.5185229048979644,0.9519002752443047,0.9989378651088688
14,0.6133816373044242,0.5184510112188626,0.959226167158568,0.9989378651088688
15,0.638362629871768,0.5219532220653569,0.9512337596038651,0.997344662772172
16,0.6379499440853279,0.518918297104676,0.9488843659342747,0.9984067976633032
17,0.6399813290610774,0.5185774296316389,0.9477147170103313,0.9989378651088688
18,0.6303664157625104,0.5186846516452694,0.948170923470148,0.9978757302177377
19,0.6348040809071129,0.5174586590907704,0.9488258116449381,0.9989378651088688
20,0.607504115404327,0.5155141164632282,0.9599582102346507,0.9994689325544344
21,0.6147665194692074,0.5166746461195194,0.9547069650855872,0.9989378651088688
22,0.6238678491832129,0.5185051997544851,0.9502388074424097,0.9989378651088688
23,0.6306755857606621,0.5168723388358879,0.9505492919998307,0.9989378651088688
24,0.6234349384768196,0.5174493469966579,0.9493285996232094,0.9989378651088688
25,0.613040846445087,0.5160498772285368,0.9538345204459296,0.9989378651088688
26,0.6222651693664614,0.5165317570726351,0.9494281133233089,0.9989378651088688
27,0.6145707346593965,0.5161436736995213,0.9534545541895326,0.9989378651088688
28,0.6227382801486712,0.5163887302988207,0.948811644250578,0.9989378651088688
29,0.6114765747105924,0.517060068396894,0.9543518628144742,0.9989378651088688
30,0.6373498582557685,0.5162137724019971,0.9399200904781918,0.9989378651088688
31,0.6251682917602727,0.5156493030896038,0.9467708375610289,0.9989378651088688
32,0.6231158914787521,0.5166761082534264,0.9475411740157123,0.9989378651088688
