epoch,train_loss,val_loss,train_acc,val_acc
1,3.200471043586731,1.3214744550351518,0.21113354334435583,0.3546325878594249
2,1.5494684357564528,0.6311767942037064,0.46180177488169827,0.6805111821086262
3,0.8586533104816636,0.3680956398907561,0.6501819555248533,0.8466453674121406
4,0.49362140161159274,0.14835316779466864,0.787450379722721,0.9265175718849841
5,0.4675830321918641,0.4344638397518438,0.8082787974195166,0.9361022364217252
6,0.41376840547341237,0.29739447811338754,0.8414869432920938,0.9424920127795527
7,0.3289346665292364,0.07176175263945382,0.8750222669197962,0.952076677316294
8,0.37523492378154566,0.3732874821692991,0.8714579278296166,0.9584664536741214
9,0.340890977896269,0.3118267987390605,0.8755671218201354,0.9616613418530351
10,0.2662159957658182,0.02942867565620393,0.90856295136305,0.9776357827476039
11,0.2863107394723856,0.02698819545475534,0.8978455083055811,0.9808306709265175
12,0.29759784317466653,0.09204516973429785,0.9022254393650935,0.9840255591054313
13,0.29422638744658247,0.010918140662804294,0.9016040193510579,0.9936102236421726
14,0.27677113162404804,0.02728940765507305,0.9050896062955751,0.9904153354632588
15,0.17389241600975874,0.018566654370234796,0.9480495669029572,0.9808306709265175
16,0.1945373345777945,0.034132232105496305,0.9278373940960392,0.9904153354632588
17,0.28797031676295665,0.023500859987335844,0.9004092406440567,0.9744408945686901
18,0.19653738594030615,0.012926507387131738,0.9302303758296337,0.9904153354632588
19,0.2832966833938282,0.016002852179574225,0.8966288216166444,0.9904153354632588
20,0.20143262447887178,2.6349719017230795,0.9297039728243273,0.9840255591054313
21,0.19273550471368983,0.4409239281507465,0.9328469647156014,0.987220447284345
22,0.16991349345087176,0.02509616891416117,0.9410349762701726,0.987220447284345
23,0.26376255295382667,0.06430205385001322,0.9110682397098332,0.987220447284345
