epoch,train_loss,val_loss,train_acc,val_acc
1,3.2179288353238786,118504793344.43794,0.28798895075425995,0.5463258785942492
2,1.8810125117773537,1.4867083378874075,0.5788167042064143,0.7795527156549521
3,1.5066104740886899,1.477770792790495,0.6552579566672608,0.6932907348242812
4,1.2181218207537472,1.358726634575536,0.7503628151102381,0.7571884984025559
5,1.0944238848738619,1.2060088559080617,0.7757285430536165,0.7699680511182109
6,1.0406015246779055,8584144902802.887,0.7941912383168608,0.9233226837060703
7,0.8858824994537856,0.9487122765745217,0.8616324748311724,0.9233226837060703
8,0.9175874518824148,0.8075580014207493,0.8471213851001237,0.9744408945686901
9,0.8807429114540855,0.9199310164101208,0.8501729562387361,0.9233226837060703
10,0.8171966809492844,0.7783674664390735,0.8834550580480597,0.9616613418530351
11,0.781557634636596,0.7476458031529436,0.8966390886804559,0.9776357827476039
12,0.7934019477157802,0.744780500666402,0.9001221555274922,0.9840255591054313
13,0.7801652170799591,0.7460511846664234,0.9048843069390936,0.9808306709265175
14,0.7603231020026154,0.7436577100723315,0.9101597876339168,0.987220447284345
15,0.6911149296786759,0.7162589131833647,0.9349353418245421,0.9808306709265175
16,0.7089850250836257,0.7134101781220482,0.9366024313392219,0.9840255591054313
17,0.7548591298061412,0.7355571423475735,0.9127940122897809,0.9744408945686901
18,0.6877631957714374,0.6935611650966608,0.9435973321343516,0.9840255591054313
19,0.7501084378787449,0.6968509638652253,0.9070477603556035,0.9904153354632588
20,0.6798496750684885,0.6895762230641544,0.9415212080373869,0.9840255591054313
21,0.6709127671770997,0.6861852434115668,0.9429921507835388,0.9936102236421726
22,0.6440315881928245,0.69050935205941,0.9510518266604497,0.9904153354632588
23,0.706482558460026,0.6874496392167795,0.9282316598263416,0.9968051118210862
24,0.6722994060306758,0.6860676866750748,0.9462340775426927,0.987220447284345
25,0.7120285669525901,0.6815864188602557,0.9251249340864328,0.9936102236421726
26,0.6456407547652067,0.6757106594384288,0.9525113131973769,0.9936102236421726
27,0.6613761065425453,0.6736415121882868,0.9499868567173297,0.9936102236421726
28,0.7134072256612254,0.6742935418701781,0.9287530963237469,0.9936102236421726
29,0.6431990750543364,0.6716841009859079,0.9496549308955015,0.9936102236421726
30,0.670101176906418,0.6824605891498895,0.9364019072317815,0.9936102236421726
