epoch,train_loss,val_loss,train_acc,val_acc
1,1.858720953647907,1.3841566616734757,0.09799273420883027,0.07028753993610223
2,1.7544855324776618,1.3412131969921124,0.1305000857273526,0.09584664536741214
3,1.6667315737231747,1.233342979281855,0.17648327177058598,0.19488817891373802
4,1.4772951629135636,1.0329107095639165,0.29939841552750096,0.30670926517571884
5,1.216606325500614,0.7316815535100504,0.43682564320145073,0.402555910543131
6,0.9330384547893817,0.49244952792176805,0.5356454836143242,0.6198083067092651
7,0.7184093263778057,0.3555607914734191,0.644282368513254,0.8019169329073482
8,0.6166047676578983,0.27453208379090405,0.7235036220524337,0.8594249201277955
9,0.5176029436208389,0.17450818033835377,0.7527065545648008,0.9137380191693291
10,0.4330059103667736,0.11590427586350578,0.8142521407578017,0.9424920127795527
11,0.4636727281651654,0.11053480512608355,0.8026631317295871,0.9456869009584664
12,0.41843463329004715,0.11243321582341727,0.8205991370992346,0.939297124600639
13,0.41458897452269283,0.09395054596871995,0.8317415419515672,0.9488817891373802
14,0.3944375807685511,0.07209721778909238,0.8355738461672605,0.952076677316294
15,0.3109973210759543,0.08123281050604372,0.8563352047087072,0.952076677316294
16,0.3307558581806146,0.06197805833607055,0.8580583985690232,0.9616613418530351
17,0.3802761726572618,0.06612389546613724,0.8484467405539292,0.9616613418530351
18,0.30066212573712997,0.0547002809830367,0.8795822567337162,0.9584664536741214
19,0.40139024426321407,0.06411744766056347,0.8318181339201036,0.9616613418530351
20,0.3230578517438946,0.060576877012229954,0.8647265221391406,0.9712460063897763
21,0.3158673782945498,0.05848899571754681,0.87226673076441,0.9680511182108626
22,0.2897253064541044,0.05166267928557274,0.860502819438557,0.9776357827476039
23,0.3402630028693558,0.060092218196430146,0.8668498390323514,0.9680511182108626
24,0.27864379859478267,0.05510796399447865,0.8880010771227407,0.9648562300319489
25,0.34009395797665304,0.05069780625855199,0.8693730261299636,0.9776357827476039
26,0.26014028168232234,0.05142647594499131,0.9006470287894155,0.9712460063897763
27,0.2892325840951813,0.05510323806502187,0.8912450608971355,0.9680511182108626
28,0.3337596571994024,0.05177354716216794,0.8695704072386354,0.9744408945686901
29,0.26105467266925086,0.05243682858947748,0.8970271905699929,0.9712460063897763
30,0.3021966427933056,0.054704752985757,0.869892248740563,0.9744408945686901
